STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100101,38.2,43.9,32.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100102,38.3,44.0,32.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100103,38.4,44.1,32.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100104,38.5,44.3,32.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100105,38.6,44.4,32.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100106,38.7,44.5,32.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100107,38.8,44.6,32.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100108,38.9,44.7,33.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100109,39.0,44.9,33.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100110,39.1,45.0,33.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100111,39.3,45.1,33.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100112,39.4,45.3,33.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100113,39.5,45.4,33.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100114,39.6,45.6,33.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100115,39.7,45.7,33.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100116,39.9,45.8,33.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100117,40.0,46.0,34.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100118,40.1,46.1,34.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100119,40.2,46.2,34.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100120,40.3,46.4,34.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100121,40.4,46.5,34.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100122,40.5,46.6,34.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100123,40.6,46.7,34.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100124,40.7,46.8,34.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100125,40.8,47.0,34.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100126,40.9,47.1,34.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100127,41.0,47.2,34.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100128,41.1,47.3,34.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100129,41.1,47.4,34.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100130,41.2,47.5,34.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100131,41.3,47.6,34.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100201,41.4,47.8,35.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100202,41.4,47.9,35.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100203,41.5,48.0,35.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100204,41.6,48.1,35.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100205,41.7,48.2,35.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100206,41.7,48.4,35.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100207,41.8,48.5,35.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100208,41.9,48.6,35.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100209,42.0,48.8,35.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100210,42.1,48.9,35.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100211,42.1,49.0,35.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100212,42.2,49.2,35.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100213,42.3,49.4,35.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100214,42.4,49.5,35.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100215,42.5,49.7,35.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100216,42.7,49.9,35.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100217,42.8,50.1,35.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100218,42.9,50.2,35.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100219,43.0,50.4,35.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100220,43.2,50.6,35.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100221,43.3,50.9,35.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100222,43.5,51.1,35.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100223,43.6,51.3,35.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100224,43.8,51.5,36.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100225,43.9,51.8,36.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100226,44.1,52.0,36.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100227,44.3,52.3,36.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100228,44.5,52.5,36.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100301,44.7,52.8,36.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100302,44.8,53.0,36.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100303,45.0,53.3,36.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100304,45.2,53.5,37.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100305,45.4,53.8,37.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100306,45.6,54.0,37.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100307,45.8,54.3,37.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100308,46.0,54.6,37.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100309,46.2,54.8,37.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100310,46.4,55.1,37.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100311,46.6,55.3,37.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100312,46.8,55.6,38.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100313,47.0,55.8,38.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100314,47.2,56.0,38.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100315,47.4,56.3,38.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100316,47.6,56.5,38.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100317,47.7,56.7,38.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100318,47.9,56.9,38.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100319,48.1,57.1,39.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100320,48.2,57.3,39.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100321,48.4,57.5,39.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100322,48.5,57.7,39.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100323,48.7,57.9,39.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100324,48.8,58.1,39.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100325,48.9,58.3,39.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100326,49.1,58.4,39.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100327,49.2,58.6,39.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100328,49.3,58.8,39.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100329,49.4,58.9,39.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100330,49.5,59.1,40.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100331,49.6,59.2,40.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100401,49.8,59.4,40.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100402,49.9,59.5,40.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100403,50.0,59.6,40.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100404,50.0,59.8,40.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100405,50.1,59.9,40.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100406,50.2,60.1,40.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100407,50.3,60.2,40.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100408,50.4,60.3,40.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100409,50.5,60.5,40.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100410,50.6,60.6,40.6
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100411,50.7,60.8,40.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100412,50.8,60.9,40.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100413,51.0,61.1,40.8
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100414,51.1,61.3,40.9
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100415,51.2,61.4,41.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100416,51.3,61.6,41.0
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100417,51.5,61.8,41.1
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100418,51.6,62.0,41.2
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100419,51.7,62.2,41.3
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100420,51.9,62.4,41.4
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100421,52.1,62.6,41.5
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100422,52.2,62.8,41.7
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,20100423,52.4,63.0,41.8
